Time,Distance_L,Distance_R
0.305,486.0,486.0
0.394,486.0,486.0
0.482,486.0,484.0
0.57,482.0,484.0
0.665,482.0,478.0
0.754,475.0,478.0
0.843,475.0,471.0
0.931,465.0,471.0
1.02,465.0,471.0
1.108,465.0,459.0
1.229,453.0,446.0
1.313,453.0,446.0
1.406,439.0,446.0
1.499,439.0,431.0
1.587,333.0,431.0
1.708,333.0,415.0
1.799,406.0,415.0
1.927,387.0,396.0
2.016,387.0,396.0
2.109,387.0,377.0
2.199,365.0,377.0
2.288,365.0,355.0
2.378,344.0,355.0
2.471,344.0,298.0
2.564,322.0,298.0
2.652,322.0,276.0
2.746,298.0,276.0
2.86,298.0,287.0
2.948,274.0,287.0
3.038,274.0,262.0
3.128,249.0,262.0
3.248,249.0,237.0
3.338,223.0,237.0
3.426,223.0,211.0
3.515,223.0,211.0
3.603,197.0,211.0
3.692,197.0,184.0
3.781,171.0,184.0
3.874,171.0,158.0
4.406,88.0,78.0
4.528,72.0,78.0
4.621,72.0,78.0
4.71,72.0,71.0
4.799,73.0,71.0
4.888,73.0,75.0
4.979,75.0,75.0
5.07,75.0,75.0
5.158,75.0,75.0
5.25,75.0,75.0
5.345,74.0,75.0
5.435,74.0,75.0
5.52,74.0,75.0
5.609,74.0,75.0
5.697,74.0,75.0
5.785,74.0,75.0
5.873,74.0,75.0
5.962,74.0,75.0
