Time,Distance_L,Distance_R
0.435,484.0,484.0
0.578,477.0,480.0
0.72,477.0,471.0
0.863,464.0,455.0
1.007,447.0,455.0
1.168,425.0,307.0
1.314,425.0,279.0
1.463,398.0,384.0
1.607,275.0,384.0
1.75,337.0,224.0
1.892,337.0,322.0
2.036,304.0,322.0
2.178,267.0,287.0
2.32,267.0,250.0
2.479,229.0,212.0
2.623,190.0,212.0
3.203,63.0,86.0
3.349,39.0,50.0
3.491,39.0,38.0
3.634,34.0,38.0
3.777,33.0,36.0
3.921,33.0,35.0
4.097,33.0,35.0
4.24,34.0,36.0
4.414,34.0,36.0
4.557,33.0,36.0
4.7,33.0,36.0
4.853,33.0,35.0
5.007,33.0,35.0
5.15,33.0,36.0
5.291,33.0,35.0
5.434,33.0,35.0
5.576,33.0,36.0
5.723,33.0,35.0
5.864,33.0,36.0
6.011,33.0,36.0
6.154,33.0,35.0
6.323,33.0,36.0
6.464,33.0,35.0
6.617,33.0,35.0
6.759,33.0,36.0
6.942,33.0,35.0
7.085,33.0,36.0
7.23,33.0,36.0
7.371,33.0,35.0
7.513,33.0,36.0
7.655,33.0,35.0
7.797,33.0,35.0
7.939,33.0,36.0
